col_A,col_B,col_C
zur Inhaltsübersicht,,
"Deutschlandatlas_GEM1224_b: Indikatoren auf Gemeindeebene, Gebietsstand zum 31.12.2024 ",,
GKZ1224,Gemeindename,"Indikatorkürzel: bev_dicht

Einwohner/-innen je km² im Jahr 2024"
8327005,Balgheim,173.06
8327006,Böttingen,88.17
8327007,Bubsheim,174.43
8327008,Buchheim,42.46
8327009,Deilingen,172.04
8327010,Denkingen,198.2
8327011,Dürbheim,117.07
8327012,Durchhausen,118.11
8327013,Egesheim,85.01
8327016,"Fridingen an der Donau, Stadt",140.5
8327017,Frittlingen,241.98
8327018,"Geisingen, Stadt",84.41
8327019,Gosheim,399.14
8327020,Gunningen,142.1
8327023,Hausen ob Verena,142.59
8327025,Immendingen,88.93
8327027,Irndorf,46.91
8327029,Königsheim,142.11
8327030,Kolbingen,74.24
8327033,Mahlstetten,66.56
8327036,"Mühlheim an der Donau, Stadt",167.85
8327038,Neuhausen ob Eck,90.94
8327040,Reichenbach am Heuberg,74.26
8327041,Renquishausen,107.13
8327046,"Spaichingen, Stadt",741.3
8327048,Talheim,101.68
8327049,"Trossingen, Stadt",722.69
8327050,"Tuttlingen, Stadt",410.27
8327051,Wehingen,253.8
8327054,Wurmlingen,256.1
8327055,Seitingen-Oberflacht,130.48
8327056,Rietheim-Weilheim,247.25
8327057,Emmingen-Liptingen,89.04
8335001,"Aach, Stadt",222.57
8335002,Allensbach,277.16
8335015,Büsingen am Hochrhein,188.98
8335021,Eigeltingen,64.47
8335022,"Engen, Stadt",160.3
8335025,Gaienhofen,266.29
8335026,Gailingen am Hochrhein,230.96
8335028,Gottmadingen,461.03
8335035,Hilzingen,173.44
8335043,"Konstanz, Universitätsstadt",1606.04
8335055,Moos,237.79
8335057,Mühlingen,83.26
8335061,Öhningen,126.3
8335063,"Radolfzell am Bodensee, Stadt",542
8335066,Reichenau,408.26
8335075,"Singen (Hohentwiel), Stadt",770.94
8335077,Steißlingen,209.34
8335079,"Stockach, Stadt",253.06
8335080,"Tengen, Stadt",77.67
8335081,Volkertshausen,651.26
8335096,Hohenfels,73.34
8335097,Mühlhausen-Ehingen,227.5
8335098,Bodman-Ludwigshafen,172.29
8335099,Orsingen-Nenzingen,161.4
8335100,Rielasingen-Worblingen,659.92
8336004,Aitern,52.88
8336006,Bad Bellingen,303.25
8336008,Binzen,514.29
8336010,Böllen,16.23
8336014,Efringen-Kirchen,198.47
8336019,Eimeldingen,712.39
8336024,Fischingen,411.64
8336025,Fröhnd,30.08
8336034,Hasel,106.18
8336036,Hausen im Wiesental,461.28
8336043,Inzlingen,269.51
8336045,"Kandern, Stadt",139.9
8336050,"Lörrach, Stadt",1304.27
8336057,Maulburg,447.79
8336069,"Rheinfelden (Baden), Stadt",551.78
8336073,Rümmingen,445.96
8336075,Schallbach,216.46
8336078,Schliengen,165.51
8336079,"Schönau im Schwarzwald, Stadt",170.11
8336080,Schönenberg,44.41
8336081,"Schopfheim, Stadt",299.31
8336082,Schwörstadt,126.36
8336084,Steinen,222.18
8336087,"Todtnau, Stadt",71.11
8336089,Tunau,45.43
8336090,Utzenfeld,80.54
8336091,"Weil am Rhein, Stadt",1656.53
8336094,Wembach,168.89
8336096,Wieden,45.71
8336100,Wittlingen,206.67
8336103,"Zell im Wiesental, Stadt",171.76
8336104,Malsburg-Marzell,57.95
8336105,Grenzach-Wyhlen,896.64
8336106,Häg-Ehrsberg,32.35
8336107,Kleines Wiesental,38.16
8337002,Albbruck,187.68
8337013,Bernau im Schwarzwald,47.53
8337022,"Bonndorf im Schwarzwald, Stadt",89.61
8337027,Dachsberg (Südschwarzwald),38.76
8337030,Dettighofen,78.65
8337032,Dogern,302.55
8337038,Görwihl,82.8
8337039,Grafenhausen,46.79
8337045,Häusern,146.85
8337049,Herrischried,70.59
8337051,Höchenschwand,86.71
8337053,Hohentengen am Hochrhein,131.68
8337059,Ibach,15.76
8337060,Jestetten,256.55
8337062,Klettgau,162.31
8337065,Lauchringen,637.2
8337066,"Laufenburg (Baden), Stadt",396.05
8337070,Lottstetten,172.74
8337076,Murg,329.99
8337090,Rickenbach,108.63
8337096,"Bad Säckingen, Stadt",700.87
8337097,"St. Blasien, Stadt",70.17
8337106,"Stühlingen, Stadt",57.41
8337108,Todtmoos,68.99
8337116,"Wehr, Stadt",368.29
8337118,Weilheim,88.84
8337123,Wutöschingen,254.1
8337124,Eggingen,126.31
8337125,Küssaberg,210.93
8337126,"Waldshut-Tiengen, Stadt",320.92
8337127,Wutach,39.07
8337128,Ühlingen-Birkendorf,68.18
8415014,Dettingen an der Erms,632.87
8415019,Eningen unter Achalm,497.45
8415027,Gomadingen,48
8415028,Grabenstetten,118.79
8415029,Grafenberg,752
8415034,"Hayingen, Stadt",34.89
8415039,Hülben,489.08
8415048,Mehrstetten,87.84
8415050,"Metzingen, Stadt",670.85
8415053,"Münsingen, Stadt",126.33
8415058,Pfronstetten,28.16
8415059,"Pfullingen, Stadt",655.57
8415060,Pliezhausen,567.36
8415061,"Reutlingen, Stadt",1365.49
8415062,Riederich,906.47
8415073,"Trochtelfingen, Stadt",79.09
8415078,"Bad Urach, Stadt",230.08
8415080,Wannweil,1002.25
8415085,Zwiefalten,50.78
8415087,Walddorfhäslach,377.91
8415088,Römerstein,88.92
8415089,Engstingen,159.93
8415090,Hohenstein,61.38
8415091,Sonnenbühl,114.64
8415092,Lichtenstein,268.43
8415093,St. Johann,88.29
8415971,"Gutsbezirk Münsingen, gemeindefreies Gebiet",-9999
8416006,Bodelshausen,419.74
8416009,Dettenhausen,502.99
8416011,Dußlingen,471.49
8416015,Gomaringen,524.25
8416018,Hirrlingen,243.41
8416022,Kirchentellinsfurt,499.73
8416023,Kusterdingen,371.95
8416025,"Mössingen, Stadt",434.76
8416026,Nehren,511.66
8416031,Ofterdingen,363.37
8416036,"Rottenburg am Neckar, Stadt",321.06
8416041,"Tübingen, Universitätsstadt",854.28
8416048,Ammerbuch,239.84
8416049,Neustetten,239.07
8416050,Starzach,157.08
8417002,"Balingen, Stadt",394.41
8417008,Bisingen,289.55
8417010,Bitz,432.2
8417013,"Burladingen, Stadt",98.32
8417014,Dautmergen,101.1
8417015,Dormettingen,164.27
8417016,Dotternhausen,183.82
8417022,"Geislingen, Stadt",183.67
8417023,Grosselfingen,136.1
8417025,"Haigerloch, Stadt",142.99
8417029,Hausen am Tann,57.83
8417031,"Hechingen, Stadt",298.25
8417036,Jungingen,152.09
8417044,"Meßstetten, Stadt",139.02
8417045,Nusplingen,92
8417047,Obernheim,97.14
8417051,Rangendingen,246.68
8417052,Ratshausen,137.67
8417054,"Rosenfeld, Stadt",125.08
8417057,"Schömberg, Stadt",207.05
8417063,Straßberg,99.32
8417071,Weilen unter den Rinnen,189.61
8417075,Winterlingen,125.2
8417078,Zimmern unter der Burg,86.51
8417079,"Albstadt, Stadt",349.33
8421000,"Ulm, Universitätsstadt",1094.39
8425002,Allmendingen,107.41
8425004,Altheim,74.62
8425005,Altheim (Alb),68.18
8425008,Amstetten,84.5
8425011,Asselfingen,80.09
8425013,Ballendorf,48.95
8425014,Beimerstetten,172.87
8425017,Berghülen,78.49
8425019,Bernstadt,166.28
8425020,"Blaubeuren, Stadt",160.78
8425022,Börslingen,26.75
8425024,Breitingen,122.49
8425028,"Dietenheim, Stadt",364.96
8425031,Dornstadt,156.02
8425033,"Ehingen (Donau), Stadt",155.69
8425035,Emeringen,23.4
8425036,Emerkingen,110.27
8425039,"Erbach, Stadt",223.42
8425050,Griesingen,124.54
8425052,Grundsheim,54.86
8425055,Hausen am Bussen,80.4
8425062,Holzkirch,34.77
8425064,Hüttisheim,147.1
8425066,Illerrieden,185.08
8425071,"Laichingen, Stadt",177.93
8425072,"Langenau, Stadt",203.57
8425073,Lauterach,42.59
8425075,Lonsee,119.34
8425079,Merklingen,98.45
8425081,"Munderkingen, Stadt",413.77
8425083,Neenstetten,99.64
8425084,Nellingen,57.23
8425085,Nerenstetten,62.23
8425088,Oberdischingen,265.19
8425090,Obermarchtal,49.76
8425091,Oberstadion,101.27
8425092,Öllingen,67
8425093,Öpfingen,255.41
8425097,Rammingen,90.09
8425098,Rechtenstein,77.51
8425104,Rottenacker,221.38
8425108,"Schelklingen, Stadt",87.2
8425110,Schnürpflingen,133.05
8425112,Setzingen,89.31
8425123,Untermarchtal,149.47
8425124,Unterstadion,102.94
8425125,Unterwachingen,75
8425130,Weidenstetten,81.87
8425134,Westerheim,134.18
8425135,Westerstetten,161.15
8425137,Illerkirchberg,439.83
8425138,Staig,184.85
8425139,Heroldstatt,129.81
8425140,Balzheim,121.63
8425141,"Blaustein, Stadt",298.17
8426001,Achstetten,218.82
8426005,Alleshausen,47.03
8426006,Allmannsweiler,77.32
8426008,Altheim,91.02
8426011,Attenweiler,70.04
8426013,"Bad Buchau, Stadt",195.83
8426014,"Bad Schussenried, Stadt",164.41
8426019,Berkheim,130.9
8426020,Betzenweiler,77.17
8426021,"Biberach an der Riß, Stadt",479.22
8426028,Burgrieden,196.29
8426031,Dettingen an der Iller,251.08
8426035,Dürmentingen,111.15
8426036,Dürnau,66.9
8426038,Eberhardzell,76.69
8426043,Erlenmoos,73.78
8426044,Erolzheim,127.76
8426045,Ertingen,142.58
8426058,Hochdorf,100.25
8426062,Ingoldingen,71.42
8426064,Kanzach,45.56
8426065,Kirchberg an der Iller,117.81
8426066,Kirchdorf an der Iller,176.11
8426067,Langenenslingen,41.31
8426070,"Laupheim, Stadt",369.62
8426071,Maselheim,100.72
8426073,Mietingen,180.14
8426074,Mittelbiberach,187.2
8426078,Moosburg,124.86
8426087,"Ochsenhausen, Stadt",156.07
8426090,Oggelshausen,68.8
8426097,"Riedlingen, Stadt",172.04
8426100,Rot an der Rot,70.97
8426108,Schwendi,144.18
8426109,Seekirch,50.17
8426113,Steinhausen an der Rottum,73.05
8426117,Tannheim,91.48
8426118,Tiefenbach,78.67
8426120,Ummendorf,215.79
8426121,Unlingen,89.73
8426124,Uttenweiler,75.37
8426125,Wain,82.47
8426128,Warthausen,207.42
8426134,Schemmerhofen,175.58
8426135,Gutenzell-Hürbel,47.91
8435005,Bermatingen,269.26
8435010,Daisendorf,623.36
8435013,Eriskirch,330.87
8435015,Frickingen,117.71
8435016,"Friedrichshafen, Stadt",897.98
8435018,Hagnau am Bodensee,476.87
8435020,Heiligenberg,69.6
8435024,Immenstaad am Bodensee,694.83
8435029,Kressbronn am Bodensee,427.38
8435030,Langenargen,492.8
8435034,"Markdorf, Stadt",349.55
8435035,Meckenbeuren,430.7
8435036,"Meersburg, Stadt",493.45
8435042,Neukirch,102.48
8435045,Oberteuringen,250.75
8435047,Owingen,122.3
8435052,Salem,195.29
8435053,Sipplingen,491.33
8435054,Stetten,224.42
8435057,"Tettnang, Stadt",288
8435059,"Überlingen, Stadt",387.7
8435066,Uhldingen-Mühlhofen,524.27
8435067,Deggenhausertal,71.28
8436001,Achberg,132.28
8436003,Aichstetten,85.18
8436004,Aitrach,100.26
8436005,Altshausen,195.26
8436006,Amtzell,138.05
8436008,"Aulendorf, Stadt",199.06
8436009,"Bad Waldsee, Stadt",191.97
8436010,"Bad Wurzach, Stadt",81.99
8436011,Baienfurt,461.09
8436012,Baindt,228.39
8436013,Berg,155.1
8436014,Bergatreute,137.29
8436018,Bodnegg,131.66
8436019,Boms,75.08
8436024,Ebenweiler,134.16
8436027,Eichstegen,37.4
8436032,Fleischwangen,112.05
8436039,Grünkraut,181.05
8436040,Guggenhausen,23.37
8436047,Hoßkirch,46.55
8436049,"Isny im Allgäu, Stadt",177.36
8436052,Kißlegg,103.08
8436053,Königseggwald,99.27
8436055,"Leutkirch im Allgäu, Stadt",138.46
8436064,"Ravensburg, Stadt",550.01
8436067,Riedhausen,99.64
8436069,Schlier,124.36
8436077,Unterwaldhausen,67.88
8436078,Vogt,211.52
8436079,Waldburg,143.86
8436081,"Wangen im Allgäu, Stadt",280.34
8436082,"Weingarten, Stadt",2050.99
8436083,Wilhelmsdorf,126.36
8436085,Wolfegg,97.75
8436087,Wolpertswende,155.1
8436093,Ebersbach-Musbach,62.59
8436094,Argenbühl,88.01
8436095,Horgenzell,96.78
8436096,Fronreute,108.11
8437005,Beuron,18.72
8437008,Bingen,72.93
8437031,"Gammertingen, Stadt",116.2
8437044,Herbertingen,122.59
8437047,"Hettingen, Stadt",40.4
8437053,Hohentengen,113.28
8437056,Illmensee,81.3
8437059,Inzigkofen,102.96
8437065,Krauchenwies,112.5
8437072,Leibertingen,47.32
8437076,"Mengen, Stadt",203.73
8437078,"Meßkirch, Stadt",113.83
8437082,Neufra,66.87
8437086,Ostrach,64.89
8437088,"Pfullendorf, Stadt",148.53
8437100,"Bad Saulgau, Stadt",183.78
8437101,"Scheer, Stadt",134.01
8437102,Schwenningen,86.19
8437104,"Sigmaringen, Stadt",181.86
8437105,Sigmaringendorf,299.52
8437107,Stetten am kalten Markt,86.05
8437114,"Veringenstadt, Stadt",68.77
8437118,Wald,62.81
8437123,Sauldorf,52.43
8437124,Herdwangen-Schönach,92.71
9161000,Ingolstadt,1058.76
9162000,"München, Landeshauptstadt",4843.92
9163000,Rosenheim,1753.73
9171111,"Altötting, St",569.48
9171112,"Burghausen, St",987.28
9171113,Burgkirchen a.d.Alz,238.28
9171114,Emmerting,303.77
9171115,Erlbach,42.34
9171116,Feichten a.d.Alz,77.34
9171117,Garching a.d.Alz,328.34
9171118,Haiming,89.35
9171119,Halsbach,48.57
9171121,Kastl,101.59
9171122,Kirchweidach,142.98
9171123,"Marktl, M",101.01
9171124,Mehring,100.98
9171125,"Neuötting, St",245.66
9171126,Perach,93.84
9171127,Pleiskirchen,46.64
9171129,Reischach,95.5
9171130,Stammham,171.13
9171131,Teising,318.4
9171132,"Töging a.Inn, St",695.68
9171133,"Tüßling, M",167.35
9171134,Tyrlaching,52.55
9171135,Unterneukirchen,150.73
9171137,Winhöring,198.09
9172111,Ainring,297.33
9172112,Anger,92.79
9172114,"Bad Reichenhall, GKSt",436.26
9172115,Bayerisch Gmain,244.44
9172116,"Berchtesgaden, M",216.03
9172117,Bischofswiesen,113.52
9172118,"Freilassing, St",1189.67
9172122,"Laufen, St",207.94
9172124,"Marktschellenberg, M",97.45
9172128,Piding,299.04
9172129,Ramsau b.Berchtesgaden,13.03
9172130,Saaldorf-Surheim,142.66
9172131,Schneizlreuth,12.82
9172132,Schönau a.Königssee,40.38
9172134,"Teisendorf, M",106.81
9172452,Eck,-9999
9172454,Schellenberger Forst,-9999
9173111,Bad Heilbrunn,95.61
9173112,"Bad Tölz, St",643.7
9173113,Benediktbeuern,97.15
9173115,Bichl,167.31
9173118,Dietramszell,57.55
9173120,Egling,71.21
9173123,Eurasburg,106.26
9173124,Gaißach,83.09
9173126,"Geretsried, St",1056.79
9173127,Greiling,190.99
9173130,Icking,218.53
9173131,Jachenau,6.44
9173133,Kochel a.See,51.12
9173134,Königsdorf,68.9
9173135,Lenggries,41.79
9173137,Münsing,83.73
9173140,Reichersbeuern,154.7
9173141,Sachsenkam,83.73
9173142,Schlehdorf,52.26
9173145,Wackersberg,57.07
9173147,"Wolfratshausen, St",2153.12
9173451,Pupplinger Au,-9999
9173452,Wolfratshauser Forst,-9999
9174111,"Altomünster, M",103.33
9174113,Bergkirchen,127.25
9174115,"Dachau, GKSt",1348.34
9174118,Erdweg,172.1
9174121,Haimhausen,208.5
9174122,Hebertshausen,199.32
9174126,Karlsfeld,1371.11
9174131,"Markt Indersdorf, M",150.34
9174135,Odelzhausen,186.3
9174136,Petershausen,193.75
9174137,Pfaffenhofen a.d.Glonn,111.49
9174141,Röhrmoos,203.12
9174143,Schwabhausen,208.77
9174146,Sulzemoos,150.16
9174147,Hilgertshausen-Tandern,116.53
9174150,Vierkirchen,240.14
9174151,Weichs,193.57
9175111,Anzing,271.2
9175112,Aßling,144.88
9175113,Baiern,74.51
9175114,Bruck,61.42
9175115,"Ebersberg, St",303.82
9175116,Egmating,119.31
9175118,Forstinning,304.56
9175119,Frauenneuharting,68
9175121,"Glonn, M",168.21
9175122,"Grafing b.München, St",471.33
9175123,Hohenlinden,192.78
9175124,"Kirchseeon, M",577.44
9175127,"Markt Schwaben, M",1255.11
9175128,Moosach,77.91
9175131,Oberpframmern,133.57
9175132,Vaterstetten,733.01
9175133,Pliening,259.32
9175135,Poing,1283.67
9175136,Emmering,83.92
9175137,Steinhöring,107.27
9175139,Zorneding,397.31
9175451,Anzinger Forst,-9999
9175452,Ebersberger Forst,-9999
9175453,Eglhartinger Forst,-9999
9176111,Adelschlag,58.06
9176112,"Altmannstein, M",62.65
9176114,"Beilngries, St",102.16
9176116,Böhmfeld,104.43
9176118,Buxheim,167.69
9176120,Denkendorf,105.29
9176121,"Dollnstein, M",71.04
9176122,Egweil,133.12
9176123,"Eichstätt, GKSt",290.67
9176124,Eitensheim,190.9
9176126,"Gaimersheim, M",441.97
9176129,Großmehring,159.73
9176131,Hepberg,725.96
9176132,Hitzhofen,89.31
9176137,"Kinding, M",49.3
9176138,"Kipfenberg, M",70.82
9176139,"Kösching, M",175.76
9176143,Lenting,577.24
9176147,Mindelstetten,80.38
9176148,"Mörnsheim, M",46.91
9176149,"Nassenfels, M",127.61
9176150,Oberdolling,70.25
9176153,"Pförring, M",95.38
9176155,Pollenfeld,66.97
9176160,Schernfeld,62.99
9176161,Stammham,106.15
9176164,"Titting, M",38.22
9176165,Walting,58.33
9176166,"Wellheim, M",80.33
9176167,Wettstetten,415.72
9176451,Haunstetter Forst,-9999
9177112,Berglern,148.14
9177113,Bockhorn,85.49
9177114,Buch a.Buchrain,72.69
9177115,"Dorfen, St",148.24
9177116,Eitting,85.8
9177117,"Erding, GKSt",680.66
9177118,Finsing,204.49
9177119,Forstern,239.47
9177120,Fraunberg,92.4
9177121,Hohenpolding,60.32
9177122,Inning a.Holz,131.93
9177123,"Isen, M",128.35
9177124,Kirchberg,68.42
9177126,Langenpreising,104.98
9177127,Lengdorf,80.79
9177130,Moosinning,152.23
9177131,Neuching,141.72
9177133,Oberding,96.59
9177134,Ottenhofen,190.17
9177135,Pastetten,127.63
9177137,Sankt Wolfgang,98.4
9177138,Steinkirchen,74.61
9177139,Taufkirchen (Vils),151.78
9177142,Walpertskirchen,115.99
9177143,"Wartenberg, M",309.79
9177144,Wörth,209.45
9178113,Allershausen,225.24
9178115,Attenkirchen,171.43
9178116,"Au i.d.Hallertau, M",114.38
9178120,Eching,391.93
9178122,Rudelzhausen,85.98
9178123,Fahrenzhausen,134.54
9178124,"Freising, GKSt",552.3
9178125,Gammelsdorf,73.96
9178129,Haag a.d.Amper,125.16
9178130,Hallbergmoos,340.81
9178132,Hörgertshausen,92.6
9178133,Hohenkammer,104.78
9178136,Kirchdorf a.d.Amper,101.43
9178137,Kranzberg,108.96
9178138,Langenbach,151.28
9178140,Marzling,160.34
9178142,Mauern,129.4
9178143,"Moosburg a.d.Isar, St",456.37
9178144,"Nandlstadt, M",164.29
9178145,Neufahrn b.Freising,462.47
9178150,Paunzhausen,125.98
9178155,Wang,79.38
9178156,Wolfersdorf,98.81
9178157,Zolling,143.49
9179111,Adelshofen,142.55
9179113,Alling,195.29
9179114,Althegnenberg,127.78
9179117,Egenhofen,103.08
9179118,Eichenau,1650.93
9179119,Emmering,630.05
9179121,"Fürstenfeldbruck, GKSt",1150.68
9179123,"Germering, GKSt",1893.38
9179125,Grafrath,269.23
9179126,Gröbenzell,3044.34
9179128,Hattenhofen,217.13
9179130,Jesenwang,109.02
9179131,Kottgeisering,194.76
9179132,Landsberied,148.72
9179134,Maisach,261.44
9179136,Mammendorf,238.74
9179137,Mittelstetten,90.39
9179138,Moorenweis,90.69
9179140,Oberschweinbach,240.47
9179142,"Olching, St",912.77
9179145,"Puchheim, St",1704.08
9179147,Schöngeising,151.09
9179149,Türkenfeld,226.9
9180112,Bad Kohlgrub,88.3
9180113,Bad Bayersoien,72.41
9180114,Eschenlohe,28.27
9180115,Ettal,46.2
9180116,Farchant,138.52
9180117,"Garmisch-Partenkirchen, M",137.63
9180118,Grainau,72.19
9180119,Großweil,74.04
9180122,Krün,54.67
9180123,"Mittenwald, M",55.13
9180124,"Murnau a.Staffelsee, M",315.13
9180125,Oberammergau,170.73
9180126,Oberau,175.36
9180127,Ohlstadt,80.71
9180128,Riegsee,61.25
9180129,Saulgrub,45.43
9180131,Schwaigen,25.92
9180132,Seehausen a.Staffelsee,154.17
9180133,Spatzenhausen,95.22
9180134,Uffing a.Staffelsee,71.79
9180135,Unterammergau,57.7
9180136,Wallgau,44.64
9180451,Ettaler Forst,-9999
9181111,Apfeldorf,98.13
9181113,Denklingen,50.75
9181114,"Dießen am Ammersee, M",129.12
9181115,Eching am Ammersee,259.62
9181116,Egling a.d.Paar,117.67
9181118,Eresing,145.29
9181120,Finning,82.26
9181121,Fuchstal,104.45
9181122,Geltendorf,167.06
9181123,Greifenberg,266.71
9181124,Hofstetten,108.7
9181126,Hurlach,113.4
9181127,Igling,96.05
9181128,"Kaufering, M",563.18
9181129,Kinsau,92.14
9181130,"Landsberg am Lech, GKSt",505.3
9181131,Obermeitingen,176.84
9181132,Penzing,127.84
9181133,Vilgertshofen,102.88
9181134,Prittriching,103.67
9181135,Reichling,75.37
9181137,Rott,88.41
9181138,Scheuring,94.07
9181139,Schondorf am Ammersee,572.99
9181140,Schwifting,90.74
9181141,Pürgen,166.39
9181142,Thaining,126.21
9181143,Unterdießen,119.09
9181144,Utting am Ammersee,242.82
9181145,Weil,90.42
9181146,Windach,153.66
9181451,Ammersee,-9999
9182111,Bad Wiessee,147.04
9182112,Bayrischzell,20.23
9182114,Fischbachau,73.36
9182116,Gmund a.Tegernsee,168.88
9182119,Hausham,366.85
9182120,"Holzkirchen, M",338.1
9182123,Irschenberg,59.84
9182124,Kreuth,27.98
9182125,"Miesbach, St",356.75
9182127,Otterfing,221.37
9182129,Rottach-Egern,92.03
9182131,"Schliersee, M",83.28
9182132,"Tegernsee, St",156.86
9182133,Valley,80.25
9182134,Waakirchen,128.05
9182136,Warngau,73.52
9182137,Weyarn,81.16
9183112,Ampfing,232.38
9183113,Aschau a.Inn,156.31
9183114,"Buchbach, M",117.09
9183115,Egglkofen,98.21
9183116,Erharting,73.46
9183118,"Gars a.Inn, M",92.12
9183119,"Haag i.OB, M",320.67
9183120,Heldenstein,142.12
9183122,Jettenbach,83.12
9183123,Kirchdorf,63.67
9183124,"Kraiburg a.Inn, M",145.95
9183125,Lohkirchen,56.29
9183126,Maitenbeth,66.76
9183127,Mettenheim,135.53
9183128,"Mühldorf a.Inn, St",764.89
9183129,"Neumarkt-Sankt Veit, St",103.72
9183130,Niederbergkirchen,49.92
9183131,Niedertaufkirchen,53.92
9183132,Oberbergkirchen,63.26
9183134,Oberneukirchen,42.81
9183135,Obertaufkirchen,86.03
9183136,Polling,75.6
9183138,Rattenkirchen,53.75
9183139,Rechtmehring,86.18
9183140,Reichertsheim,54.86
9183143,Schönberg,44.65
9183144,Schwindegg,168.03
9183145,Taufkirchen,54.84
9183147,Unterreit,54.89
9183148,"Waldkraiburg, St",1193.74
9183151,Zangberg,120.24
9183451,Mühldorfer Hart,-9999
9184112,Aschheim,326.17
9184113,Baierbrunn,468.24
9184114,Brunnthal,143.64
9184118,Feldkirchen,1213.73
9184119,"Garching b.München, St",626.77
9184120,Gräfelfing,1406.26
9184121,Grasbrunn,249.37
9184122,Grünwald,1465.14
9184123,Haar,1773.49
9184127,Höhenkirchen-Siegertsbrunn,464.41
9184129,Hohenbrunn,486.11
9184130,Ismaning,450.19
9184131,Kirchheim b.München,864
9184132,Neuried,914.24
9184134,Oberhaching,402.84
9184135,Oberschleißheim,391.06
9184136,Ottobrunn,4365.01
9184137,Aying,98.67
9184138,Planegg,1030.62
9184139,Pullach i.Isartal,1162.3
9184140,Putzbrunn,612.8
9184141,Sauerlach,141.58
9184142,Schäftlarn,349.28
9184144,Straßlach-Dingharting,114.96
9184145,Taufkirchen,824.55
9184146,Neubiberg,2483.36
9184147,Unterföhring,927.76
9184148,Unterhaching,2556.12
9184149,"Unterschleißheim, St",1907.7
9184452,Forstenrieder Park,-9999
9184454,Grünwalder Forst,-9999
9184457,Perlacher Forst,-9999
9185113,Aresing,102.31
9185116,Berg im Gau,60.78
9185118,Bergheim,68.98
9185123,Brunnen,56.57
9185125,"Burgheim, M",94.07
9185127,Ehekirchen,58.52
9185131,Gachenbach,86.84
9185139,Karlshuld,206.15
9185140,Karlskron,133.7
9185143,Langenmosen,70.18
9185149,"Neuburg a.d.Donau, GKSt",370.71
9185150,Oberhausen,100.97
9185153,"Rennertshofen, M",51.98
9185157,Rohrenfels,93.9
9185158,"Schrobenhausen, St",236.71
9185163,Königsmoos,120.94
9185166,Waidhofen,83.97
9185168,Weichering,98.33
9186113,Baar-Ebenhausen,371.06
9186116,Ernsgaden,241.47
9186122,"Geisenfeld, St",130.95
9186125,Gerolsbach,65.04
9186126,Hettenshausen,115.54
9186128,"Hohenwart, M",93.89
9186130,Ilmmünster,158.89
9186132,Jetzendorf,144.62
9186137,"Manching, M",368.11
9186139,Münchsmünster,199.45
9186143,"Pfaffenhofen a.d.Ilm, St",291.44
9186144,Pörnbach,97.61
9186146,Reichertshausen,219.46
9186147,"Reichertshofen, M",220.28
9186149,Rohrbach,201.55
9186151,Scheyern,127.53
9186152,Schweitenkirchen,104.09
9186158,"Vohburg a.d.Donau, St",196.83
9186162,"Wolnzach, M",127.03
9187113,Amerang,93.94
9187114,Aschau i.Chiemgau,68.74
9187116,Babensham,57.48
9187117,"Bad Aibling, St",446.79
9187118,Bernau a.Chiemsee,256.93
9187120,Brannenburg,197.74
9187121,Breitbrunn a.Chiemsee,178.94
9187122,"Bruckmühl, M",333.3
9187123,Chiemsee,66.93
9187124,Edling,215.03
9187125,Eggstätt,117.17
9187126,Eiselfing,94.44
9187128,"Bad Endorf, M",202.42
9187129,Bad Feilnbach,142.6
9187130,Feldkirchen-Westerham,201.77
9187131,Flintsbach a.Inn,93.58
9187132,Frasdorf,91.5
9187134,Griesstätt,95.6
9187137,Großkarolinenfeld,254.11
9187138,Gstadt a.Chiemsee,108.13
9187139,Halfing,119.96
9187142,Schechen,168.6
9187145,Höslwang,75.03
9187148,Kiefersfelden,177.27
9187150,"Kolbermoor, St",962.88
9187154,"Neubeuern, M",269.65
9187156,Nußdorf a.Inn,89.71
9187157,Oberaudorf,85.93
9187159,Pfaffing,116.1
9187162,"Prien a.Chiemsee, M",527.29
9187163,Prutting,180.89
9187164,Ramerberg,171.82
9187165,Raubling,252.11
9187167,Riedering,146.25
9187168,Rimsting,188.75
9187169,Rohrdorf,204.29
9187170,Rott a.Inn,211.65
9187172,Samerberg,83.77
9187173,Schonstett,104.85
9187174,Söchtenau,104.29
9187176,Soyen,101.62
9187177,Stephanskirchen,398.26
9187179,Tuntenhausen,102.54
9187181,Vogtareuth,89.72
9187182,"Wasserburg a.Inn, St",658.24
9187186,Albaching,95.71
9187451,Rotter Forst-Nord,-9999
9187452,Rotter Forst-Süd,-9999
9188113,Berg,218.65
9188117,Andechs,94.73
9188118,Feldafing,473.99
9188120,Gauting,393.87
9188121,Gilching,605.14
9188124,Herrsching a.Ammersee,531.56
9188126,Inning a.Ammersee,197.46
9188127,Krailling,490.74
9188132,Seefeld,218.88
9188137,Pöcking,266.65
9188139,"Starnberg, St",395.65
9188141,Tutzing,278.43
9188144,Weßling,244.2
9188145,Wörthsee,261.02
9188451,Starnberger See,-9999
9189111,Altenmarkt a.d.Alz,158.66
9189113,Bergen,124.44
9189114,Chieming,126.64
9189115,Engelsberg,72.7
9189118,Fridolfing,98.08
9189119,Grabenstätt,114.36
9189120,"Grassau, M",193.12
9189124,Inzell,103.73
9189126,Kienberg,60.14
9189127,Kirchanschöring,132.3
